p1,hist_len_lower,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
1.0,3.0,0.0,1.6689,0.06420000000000003,2.7974,0.10074999999999967,1.1285,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,1.6289,0.06994999999999996,2.7847,0.06515000000000004,1.1558,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,0.0,1.6314,0.06835000000000013,2.7339,0.19324999999999992,1.1025000000000003,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,0.0,1.6708,0.10899999999999999,2.7701,0.12395000000000023,1.0992999999999997,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,11.0,0.0,2.2392,0.27970000000000006,2.8,0.08709999999999996,0.5608,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,13.0,0.0,2.5883,0.21484999999999976,2.7879,0.1137999999999999,0.19960000000000022,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,15.0,0.0,2.7421,0.10424999999999995,2.7663,0.06895000000000007,0.0242,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,17.0,0.0,2.7453,0.14239999999999986,2.7784,0.08139999999999947,0.03310000000000013,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,19.0,0.0,2.7409,0.1675500000000003,2.7663,0.12429999999999986,0.02540000000000031,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,21.0,0.0,2.7701,0.1125499999999997,2.7485,0.1694,-0.02159999999999984,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,23.0,0.0,2.7542,0.15769999999999973,2.7555,0.07724999999999982,0.0013000000000000789,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,25.0,0.0,2.7472,0.12464999999999993,2.7568,0.18884999999999996,0.009600000000000275,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,27.0,0.0,2.7618,0.10809999999999986,2.7548,0.11119999999999974,-0.007000000000000117,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,29.0,0.0,2.7758,0.08359999999999967,2.758,0.1042500000000004,-0.017799999999999816,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
