p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
7.0,4.0,1.2417,0.08135000000000003,1.5866,0.10400000000000009,0.3449,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,4.0,1.0824,0.043099999999999916,1.2102,0.04049999999999976,0.1277999999999999,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,4.0,1.0138,0.03784999999999994,1.1002,0.04740000000000011,0.08640000000000003,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,4.0,0.9883,0.05315000000000003,1.0624,0.04774999999999996,0.07410000000000005,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,4.0,0.9635,0.06355,1.0242,0.060699999999999976,0.060699999999999976,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,4.0,0.9419,0.05449999999999999,1.0055,0.05480000000000018,0.0636000000000001,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,4.0,0.9089,0.036900000000000044,0.953,0.0404000000000001,0.04409999999999992,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,4.0,0.8904,0.051799999999999846,0.9362,0.048800000000000066,0.04580000000000006,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,4.0,0.8904,0.042750000000000066,0.9184,0.04575000000000007,0.028000000000000025,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,4.0,0.9193,0.056950000000000056,0.9174,0.05774999999999997,-0.0019000000000000128,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,4.0,0.8984,0.06169999999999998,0.8923,0.04930000000000001,-0.006099999999999994,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,4.0,0.8891,0.05005000000000004,0.8879,0.058149999999999924,-0.0011999999999999789,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,4.0,0.8821,0.04544999999999999,0.8853,0.0515000000000001,0.0031999999999999806,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,4.0,0.8777,0.05785000000000007,0.8841,0.03705000000000003,0.006399999999999961,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,4.0,0.865,0.056849999999999956,0.8647,0.049800000000000066,-0.00029999999999996696,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,4.0,0.8656,0.03590000000000004,0.8666,0.03974999999999995,0.0010000000000000009,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,4.0,0.8596,0.03660000000000008,0.8586,0.02849999999999997,-0.0010000000000000009,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,4.0,0.857,0.04465000000000008,0.8516,0.040200000000000014,-0.00539999999999996,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
