ノイズ床（帰無実験）: 0.0648 ns/分岐  （これより小さい差は有意でない）

      p1       p2   test_ns     iqr    ctl_ns     iqr   diff_ns    有意
       7        4    1.2417  0.0814    1.5866  0.1040   +0.3449   yes
      14        4    1.0824  0.0431    1.2102  0.0405   +0.1278   yes
      21        4    1.0138  0.0378    1.1002  0.0474   +0.0864   yes
      28        4    0.9883  0.0532    1.0624  0.0477   +0.0741   yes
      35        4    0.9635  0.0635    1.0242  0.0607   +0.0607    no
      42        4    0.9419  0.0545    1.0055  0.0548   +0.0636    no
      49        4    0.9089  0.0369    0.9530  0.0404   +0.0441    no
      56        4    0.8904  0.0518    0.9362  0.0488   +0.0458    no
      63        4    0.8904  0.0428    0.9184  0.0458   +0.0280    no
      70        4    0.9193  0.0570    0.9174  0.0577   -0.0019    no
      77        4    0.8984  0.0617    0.8923  0.0493   -0.0061    no
      84        4    0.8891  0.0501    0.8879  0.0581   -0.0012    no
      91        4    0.8821  0.0454    0.8853  0.0515   +0.0032    no
      98        4    0.8777  0.0579    0.8841  0.0371   +0.0064    no
     105        4    0.8650  0.0568    0.8647  0.0498   -0.0003    no
     112        4    0.8656  0.0359    0.8666  0.0397   +0.0010    no
     119        4    0.8596  0.0366    0.8586  0.0285   -0.0010    no
     126        4    0.8570  0.0447    0.8516  0.0402   -0.0054    no

history_length/results/ctx_histlen_K4.csv に書き出しました
history_length/results/ctx_histlen_K4.csv.meta.txt に環境情報を記録しました
