p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
3.0,0.0,1.8743,0.1354000000000002,3.1083,0.07060000000000022,1.2339999999999998,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,3.1637,0.04960000000000031,3.1236,0.09599999999999964,-0.0400999999999998,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,3.116,0.0947,3.156,0.13670000000000027,0.040000000000000036,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,3.1605,0.12590000000000012,3.1643,0.12590000000000012,0.0038000000000000256,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,3.1071,0.09730000000000016,3.1281,0.050899999999999945,0.020999999999999908,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,0.0,3.1363,0.08840000000000003,3.1541,0.07759999999999989,0.01780000000000026,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,3.1102,0.07939999999999969,3.0874,0.11189999999999989,-0.02279999999999971,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,3.1516,0.11319999999999997,3.1904,0.11949999999999994,0.038799999999999724,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,0.0,3.1306,0.06040000000000001,3.0956,0.10040000000000004,-0.0349999999999997,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.0,0.0,3.1465,0.15190000000000037,3.1745,0.14559999999999995,0.028000000000000025,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.0,0.0,3.1325,0.1304000000000003,3.1446,0.08210000000000006,0.012100000000000222,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.0,0.0,3.1249,0.14619999999999989,3.1071,0.05790000000000006,-0.017799999999999816,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,0.0,3.1522,0.15769999999999973,3.1395,0.15580000000000016,-0.012700000000000156,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.0,0.0,3.1204,0.0827,3.1141,0.03049999999999997,-0.006299999999999972,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,0.0,3.1376,0.08400000000000007,3.1236,0.09339999999999993,-0.01399999999999979,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243.0,0.0,3.135,0.09670000000000023,3.1465,0.16089999999999982,0.011500000000000288,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
