p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
3.0,0.0,1.7999,0.12335000000000007,3.1115,0.0464500000000001,1.3115999999999999,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,1.922,0.06105000000000027,3.1261,0.08009999999999984,1.2041000000000002,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,1.9449,0.051799999999999846,3.1179,0.06639999999999979,1.173,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,2.2399,0.13634999999999975,3.1077,0.06229999999999958,0.8677999999999999,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,2.5819,0.19199999999999973,3.1242,0.06799999999999962,0.5423,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,3.0505,0.05594999999999972,3.1274,0.10645000000000016,0.07690000000000019,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,3.1096,0.06300000000000017,3.1211,0.03655000000000008,0.011500000000000288,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,3.1147,0.08614999999999995,3.1033,0.09564999999999957,-0.011400000000000077,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,3.149,0.10140000000000038,3.1064,0.049249999999999794,-0.04260000000000019,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,3.1109,0.07089999999999996,3.1122,0.11350000000000016,0.0013000000000000789,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,3.1096,0.09604999999999997,3.1573,0.09854999999999992,0.0477000000000003,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,3.1077,0.055950000000000166,3.0963,0.07279999999999998,-0.011400000000000077,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
