p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,significant,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
2.0,0.0,0.789,0.02540000000000009,,,,,0.0,,,0.0,,0.0,
4.0,0.0,0.7051,0.01529999999999998,,,,,0.0,,,0.0,,0.0,
8.0,0.0,0.6771,0.014000000000000012,,,,,0.0,,,0.0,,0.0,
16.0,0.0,0.6574,0.019100000000000006,,,,,0.0,,,0.0,,0.0,
32.0,0.0,0.6402,0.019100000000000006,,,,,0.0,,,0.0,,0.0,
64.0,0.0,0.7305,0.012700000000000045,,,,,0.0,,,0.0,,0.0,
128.0,0.0,0.6892,0.017100000000000004,,,,,0.0,,,0.0,,0.0,
256.0,0.0,0.658,0.01529999999999998,,,,,0.0,,,0.0,,0.0,
512.0,0.0,0.6568,0.02410000000000001,,,,,0.0,,,0.0,,0.0,
1024.0,0.0,0.6466,0.02289999999999992,,,,,0.0,,,0.0,,0.0,
2048.0,0.0,0.6453,0.0031999999999999806,,,,,0.0,,,0.0,,0.0,
