p1,corr_dist_elements,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
1.0,3.0,0.0,1.797,0.01705000000000023,3.008,0.0301499999999999,1.211,0.008399999999999963,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,1.8006,0.024399999999999755,3.0064,0.030199999999999783,1.2058000000000002,0.008399999999999963,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,0.0,1.8216,0.06329999999999991,3.0194,0.03125,1.1978,0.008399999999999963,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,0.0,1.9107,0.10194999999999999,3.0149,0.031199999999999672,1.1041999999999998,0.008399999999999963,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,11.0,0.0,2.4199,0.1698000000000004,3.0185,0.015099999999999891,0.5985999999999998,0.008399999999999963,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,13.0,0.0,2.8731,0.05109999999999992,3.0194,0.0305500000000003,0.1463000000000001,0.008399999999999963,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,15.0,0.0,2.995,0.03505000000000047,3.019,0.027000000000000135,0.02400000000000002,0.008399999999999963,no,noisy(diff=+0.0240<=iqr=0.0351),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,17.0,0.0,3.0123,0.02605000000000013,3.0264,0.015000000000000124,0.014100000000000001,0.008399999999999963,no,noisy(diff=+0.0141<=iqr=0.0261),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,19.0,0.0,3.0154,0.020849999999999813,3.0115,0.021300000000000097,-0.0039000000000002366,0.008399999999999963,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,21.0,0.0,3.0114,0.03370000000000006,3.0065,0.02194999999999947,-0.0049000000000001265,0.008399999999999963,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,23.0,0.0,3.0207,0.01609999999999978,3.0195,0.022950000000000248,-0.001200000000000312,0.008399999999999963,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,25.0,0.0,3.0105,0.022149999999999892,3.0135,0.00934999999999997,0.0030000000000001137,0.008399999999999963,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
