p1,p2,test_ns,test_iqr,ctl_ns,ctl_iqr,diff_ns,noise_floor,significant,anomaly,test_mpb,ctl_mpb,diff_mpb,test_ipc,ctl_ipc,test_fe_per_br,ctl_fe_per_br
2.0,0.0,0.7958,0.022299999999999875,,,,,,,0.0,,,0.0,,0.0,
4.0,0.0,0.7173,0.017900000000000027,,,,,,,0.0,,,0.0,,0.0,
8.0,0.0,0.6696,0.012899999999999912,,,,,,,0.0,,,0.0,,0.0,
16.0,0.0,0.6593,0.016750000000000043,,,,,,,0.0,,,0.0,,0.0,
32.0,0.0,0.6404,0.008550000000000058,,,,,,,0.0,,,0.0,,0.0,
64.0,0.0,0.7872,0.0777500000000001,,,,,,,0.0,,,0.0,,0.0,
128.0,0.0,0.6872,0.005900000000000016,,,,,,,0.0,,,0.0,,0.0,
256.0,0.0,0.6693,0.016449999999999965,,,,,,,0.0,,,0.0,,0.0,
512.0,0.0,0.6452,0.011499999999999955,,,,,,,0.0,,,0.0,,0.0,
1024.0,0.0,0.6338,0.010149999999999992,,,,,,,0.0,,,0.0,,0.0,
